"Statistics name :","Prefectural Data Basic Data"
"Table Number :","0000010101"
"Title :","[System of Social and Demographic Statistics] System of Social and Demographic Statistics A Population and Households"
"Implementation date :","-","-"
"Cities, Towns and Villages :","-"

"***","Data not available"
"-","Not applicable"
"X","Not available"

"","","","","","1975100000","1976100000","1977100000","1978100000","1979100000","1980100000","1981100000","1982100000","1983100000","1984100000","1985100000","1986100000","1987100000","1988100000","1989100000","1990100000","1991100000","1992100000","1993100000","1994100000","1995100000","1996100000","1997100000","1998100000","1999100000","2000100000","2001100000","2002100000","2003100000","2004100000","2005100000","2006100000","2007100000","2008100000","2009100000","2010100000","2011100000","2012100000","2013100000","2014100000","2015100000","2016100000"
"A Population and Households Code","A Population and Households","AREA Code","AREA","/SURVEY YEAR","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"A1101","A1101_Total population (Both sexes)[person]","08000","Ibaraki-ken","","2,342,198","2,380,000","2,417,000","2,463,000","2,510,000","2,558,007","2,595,000","2,636,000","2,670,000","2,698,000","2,725,005","2,746,000","2,769,000","2,795,000","2,822,000","2,845,382","2,871,000","2,898,000","2,920,000","2,940,000","2,955,530","2,966,000","2,973,000","2,980,000","2,981,000","2,985,676","2,990,000","2,987,000","2,985,000","2,982,000","2,975,167","2,974,000","2,973,000","2,971,000","2,970,000","2,969,770","2,960,000","2,947,000","2,937,000","2,927,000","2,916,976","2,905,000"
"A1101","A1101_Total population (Both sexes)[person]","09000","Tochigi-ken","","1,698,003","1,717,000","1,736,000","1,753,000","1,775,000","1,792,201","1,807,000","1,822,000","1,835,000","1,850,000","1,866,066","1,880,000","1,895,000","1,908,000","1,921,000","1,935,168","1,948,000","1,959,000","1,969,000","1,977,000","1,984,390","1,991,000","1,996,000","2,001,000","2,003,000","2,004,817","2,011,000","2,012,000","2,014,000","2,016,000","2,016,631","2,016,000","2,016,000","2,015,000","2,011,000","2,007,683","2,000,000","1,992,000","1,986,000","1,980,000","1,974,255","1,966,000"
"A1101","A1101_Total population (Both sexes)[person]","10000","Gumma-ken","","1,756,480","1,778,000","1,799,000","1,817,000","1,833,000","1,848,562","1,864,000","1,879,000","1,893,000","1,908,000","1,921,259","1,931,000","1,941,000","1,949,000","1,959,000","1,966,265","1,974,000","1,984,000","1,990,000","1,996,000","2,003,540","2,009,000","2,013,000","2,017,000","2,020,000","2,024,852","2,029,000","2,030,000","2,030,000","2,027,000","2,024,135","2,022,000","2,020,000","2,017,000","2,014,000","2,008,068","2,001,000","1,994,000","1,986,000","1,979,000","1,973,115","1,967,000"
"A1101","A1101_Total population (Both sexes)[person]","11000","Saitama-ken","","4,821,340","4,964,000","5,091,000","5,208,000","5,318,000","5,420,480","5,520,000","5,615,000","5,700,000","5,784,000","5,863,678","5,954,000","6,071,000","6,195,000","6,308,000","6,405,319","6,486,000","6,567,000","6,640,000","6,703,000","6,759,311","6,804,000","6,841,000","6,877,000","6,906,000","6,938,006","6,977,000","7,000,000","7,028,000","7,046,000","7,054,243","7,079,000","7,106,000","7,136,000","7,161,000","7,194,556","7,209,000","7,216,000","7,228,000","7,247,000","7,266,534","7,289,000"
"A1101","A1101_Total population (Both sexes)[person]","12000","Chiba-ken","","4,149,147","4,267,000","4,382,000","4,508,000","4,626,000","4,735,424","4,834,000","4,923,000","5,005,000","5,079,000","5,148,163","5,219,000","5,307,000","5,403,000","5,487,000","5,555,429","5,617,000","5,679,000","5,731,000","5,767,000","5,797,782","5,817,000","5,839,000","5,867,000","5,893,000","5,926,285","5,970,000","5,998,000","6,030,000","6,047,000","6,056,462","6,084,000","6,119,000","6,153,000","6,180,000","6,216,289","6,217,000","6,200,000","6,201,000","6,209,000","6,222,666","6,236,000"
"A1101","A1101_Total population (Both sexes)[person]","13000","Tokyo-to","","11,673,554","11,674,000","11,669,000","11,659,000","11,637,000","11,618,281","11,626,000","11,650,000","11,700,000","11,759,000","11,829,363","11,888,000","11,887,000","11,873,000","11,863,000","11,855,563","11,894,000","11,887,000","11,849,000","11,796,000","11,773,605","11,808,000","11,881,000","11,939,000","11,983,000","12,064,101","12,165,000","12,271,000","12,388,000","12,482,000","12,576,601","12,704,000","12,848,000","12,973,000","13,048,000","13,159,388","13,198,000","13,234,000","13,307,000","13,399,000","13,515,271","13,624,000"
"A1101","A1101_Total population (Both sexes)[person]","14000","Kanagawa-ken","","6,397,748","6,510,000","6,616,000","6,728,000","6,832,000","6,924,348","7,022,000","7,127,000","7,227,000","7,328,000","7,431,974","7,553,000","7,684,000","7,794,000","7,891,000","7,980,391","8,050,000","8,116,000","8,166,000","8,207,000","8,245,900","8,279,000","8,319,000","8,383,000","8,432,000","8,489,974","8,575,000","8,636,000","8,702,000","8,753,000","8,791,597","8,846,000","8,912,000","8,965,000","9,006,000","9,048,331","9,060,000","9,070,000","9,084,000","9,103,000","9,126,214","9,145,000"
"A1101","A1101_Total population (Both sexes)[person]","15000","Niigata-ken","","2,391,938","2,406,000","2,417,000","2,428,000","2,439,000","2,451,357","2,459,000","2,465,000","2,469,000","2,474,000","2,478,470","2,478,000","2,477,000","2,476,000","2,476,000","2,474,583","2,475,000","2,476,000","2,479,000","2,484,000","2,488,364","2,490,000","2,490,000","2,488,000","2,482,000","2,475,733","2,471,000","2,462,000","2,455,000","2,445,000","2,431,459","2,420,000","2,408,000","2,396,000","2,385,000","2,374,450","2,364,000","2,350,000","2,336,000","2,320,000","2,304,264","2,286,000"
"A1101","A1101_Total population (Both sexes)[person]","16000","Toyama-ken","","1,070,791","1,079,000","1,085,000","1,092,000","1,098,000","1,103,459","1,106,000","1,110,000","1,113,000","1,116,000","1,118,369","1,119,000","1,120,000","1,120,000","1,121,000","1,120,161","1,121,000","1,120,000","1,121,000","1,121,000","1,123,125","1,125,000","1,124,000","1,124,000","1,122,000","1,120,851","1,120,000","1,118,000","1,116,000","1,115,000","1,111,729","1,110,000","1,107,000","1,103,000","1,098,000","1,093,247","1,088,000","1,083,000","1,077,000","1,072,000","1,066,328","1,061,000"
"A1101","A1101_Total population (Both sexes)[person]","17000","Ishikawa-ken","","1,069,872","1,082,000","1,091,000","1,100,000","1,110,000","1,119,304","1,127,000","1,134,000","1,141,000","1,147,000","1,152,325","1,155,000","1,158,000","1,160,000","1,163,000","1,164,628","1,167,000","1,171,000","1,173,000","1,176,000","1,180,068","1,181,000","1,181,000","1,181,000","1,180,000","1,180,977","1,182,000","1,180,000","1,179,000","1,178,000","1,174,026","1,173,000","1,173,000","1,172,000","1,171,000","1,169,788","1,167,000","1,164,000","1,160,000","1,157,000","1,154,008","1,151,000"
"A1101","A1101_Total population (Both sexes)[person]","18000","Fukui-ken","","773,599","779,000","783,000","787,000","791,000","794,354","798,000","803,000","809,000","813,000","817,633","819,000","822,000","822,000","823,000","823,585","823,000","823,000","824,000","825,000","826,996","828,000","828,000","828,000","828,000","828,944","830,000","828,000","827,000","824,000","821,592","820,000","817,000","814,000","810,000","806,314","803,000","800,000","796,000","791,000","786,740","782,000"
"A1101","A1101_Total population (Both sexes)[person]","19000","Yamanashi-ken","","783,050","787,000","792,000","796,000","800,000","804,256","809,000","813,000","820,000","826,000","832,832","837,000","841,000","845,000","849,000","852,966","860,000","865,000","871,000","877,000","881,996","885,000","886,000","888,000","887,000","888,172","890,000","889,000","888,000","886,000","884,515","880,000","877,000","871,000","867,000","863,075","857,000","852,000","847,000","841,000","834,930","830,000"
